tweet,language,sentiment,,
b'May bagong charger na naman akong ppakisamahan',tl,0,,
b'@jaimelynbejareg Napakasaya gaguuuuu HAHAHAHAHAHHAHHAHAHA',tl,1,,
b'VinCentiments #EXtiquette #AkalakbaDiMoNaMahal https://t.co/v1Os1muT0V',others,0,,
b'Letting out all the negativity and stress on a Monday. \xf0\x9f\x98\x8c\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc',en,1,,
"b':kita ko si *** kahapon sa unc ah.\n\nMe: pake ko dun.\n\nInner me: talaga? Oo naglalaro yun every sunday tapos after nun nagpupunta dito DATI.\n\nHahahahahaha ge, imissyou! \xf0\x9f\x98\x85'",tlen,0,,
"b'*salitang diko ikakahiya*\n\n"" bakla yung minahal ko"" \xf0\x9f\x92\x9b'",tl,1,,
b'*swimming*\nLangoy- 3%\nGilid gilid- 7%\nPicture picture- 90% https://t.co/Q0wmwWzkYE',tlen,0,,
b'Tambay \xf0\x9f\x98\x91 https://t.co/SrqAULoeFx',tl,0,,
b'It hurtss!\xf0\x9f\x98\xb5',en,-1,,
b'Magandang Tanghali \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\x94\xa5',tl,1,,
b'I LOVE YOU ALL',en,1,,
b'Maulaw kos iyaha',others,0,,
b'@ianmlumbang Yessss. Hahaha. Booked na \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3',tlen,1,,
b'Nagkaroon ng bagong kulay yung Karaniwang Tao. Husay @THEJANINEBERDIN',tl,0,,
b'Shet! Uulan pa walang payong',tl,-1,,
b'waiting',en,0,,
b'@manobansbxtch Ayyyyy... baket??',tl,0,,
b'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA SEASON 8!!!!',en,0,,
b'Wowex. Biglang 1:30 na naman ang klase tapos ari pako isulan \xf0\x9f\x98\xad',tl,0,,
"b'Bumili lola ko ng pi\xc3\xb1a\n\nL: pahingi ako ng isa\nT: pahingi? \nL: pabli!!\n\n*inabot ung pi\xc3\xb1a\nL: panget naman ng pi\xc3\xb1a mo\nT: panget din naman ng tindera eh, pagod na kasi HAHA\nL: Ah so pag di ka pagod maganda ka?\nT: hindi din! HAHA'",tl,0,,
b'gonna call it a revolution',en,0,,
b'\xf0\x9f\x98\x82',emoji,1,,
b'Yes it is \xf0\x9f\x92\x95',en,1,,
b'@mikaigonzales25 Hahahahahaha yawa oy ako gyud pirmi pasanginlan sa giatay hahahaha dili oyps ngano mangutana man lugar ko unsaon nga virgin man japun oks \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',others,1,,
b'okay okay nakahiga na naman maghapon mwehehe',tl,1,,
b'@Kenzricalynnnn Lipay na kaayo ko na naa koy ma-ingnan sa akong kasakit maliban kay Hermie \xf0\x9f\x98\x82\xf0\x9f\x98\x98',others,0,,
b'@bebebaysa wait lang tayo mgkikita din kayooo',tlen,0,,
b'@pearlycheleee \xf0\x9f\x98\xad\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb',emoji,-1,,
b'My loneliness is killing me\xf0\x9f\x99\x83',en,-1,,
b'Burnt\xf0\x9f\x98\xad\xf0\x9f\x8d\x97\xf0\x9f\x8d\x97',en,-1,,
b'Mura jud sya og akong ex nyawa',others,0,,
b'https://t.co/EbSikgkvgK',others,0,,
b'!!!!!!!!!!!',others,0,,
b'Naeexcite me hahaha',tlen,1,,
b'Napanaginipan ko pa si lande haha panira',tl,1,,
b'@crslnn Gora',others,0,,
"b'sa panahon ngayon, masarap pumapak ng ice tube.'",tlen,0,,
"b'@nicsmagsino Congrats, nics! Umaasa kong mapapanood kita sa uaap hahahaha'",tlen,1,,
b'@zelle_arana Hi frog',en,0,,
b'Buy 1 take 1 breakfast meals at brothers burger. Its a lucky MonDay!',tlen,1,,
b'@sofhiaboer @matthew_juano p30 mga bessyyy',others,0,,
b'Pero ang awkward may makisabay sayo ng pagkain ng di mo kakilala. Haha!',tlen,1,,
b'Cut pala yung kiss part\xe2\x98\xb9\xef\xb8\x8f #GameofThrones',tlen,0,,
b'1 star na lang GM IV na. Mas masarap maglaro talaga pag walang kakampi na kakilala. \xf0\x9f\x98\x82',tlen,1,,
"b""@mailisham34 I actually loved their previous songs so I expected the same this time but it's um 'ok' hehe that's why I never trust YT hype \xf0\x9f\x98\x82""",en,0,,
b'Kinakabahan ako kapag may napuputol sa mga kuko ko.',tl,0,,
b'Aaaaah maka sapot ang traffic',tlen,-1,,
b'My boring ass has a reason to live again thank you lorde for the gift of GOT',en,1,,
b'Ano to madugong longweekend?\xf0\x9f\x99\x84\xf0\x9f\x99\x81\xf0\x9f\x98\x91',tlen,-1,,
b'tagal naman pooh',tl,-1,,
"b""@chintheleast @khavn You're a romantic afterall.""",en,1,,
"b'Star, stake, steak #MaineEBLentenBUKAS'",en,0,,
b'hayupp. may sadimunyu din lola ko eh! HAHAHHAHAHAHA',tl,1,,
b'Fuck u rnchr!!!! \xf0\x9f\x94\xa5',en,-1,,
b'backk to mahhh favvv \xe2\x9d\xa4\xef\xb8\x8f',en,1,,
b'My weekends \xf0\x9f\x8d\x83 https://t.co/2c7Mv7Ix32',en,1,,
b'@engkaaat Sang pineapple gel? Haha',tlen,1,,
"b'Hindi ako pde ng matuwa ng sobra, malungkot ng sobra, lalong umiyak ng sobra. \xf0\x9f\x92\x94'",tl,-1,,
b'@shnmrklvrd nagsalita \xf0\x9f\xa4\xad',tl,0,,
b'Nahamugan siguro ako kagabi kaya ganto. \xf0\x9f\x98\x92\xf0\x9f\x99\x81',tl,-1,,
b'\xf0\x9f\x8d\xbb https://t.co/JMSiIiFwiB',emoji,1,,
b'trulagens',others,0,,
b'TRUEEEEEE',en,0,,
"b'Taray mo naman groupmate, kung tutuusin madali lang magpaPRINT.'",tlen,-1,,
b'Sinuka ko pa ro ice cream tskkk Hangover!',tlen,-1,,
b'Yung miss na miss mo na siya pero wala kang magawa.',tlen,-1,,
b'Pinya mo diha.',others,0,,
b'Tamang swimming lang dito sa bahay HAAHHAHAHA',tlen,1,,
"b""@apothecarian_ San'o balik mo di?""",others,0,,
b'@blahbidiblah Somewhere na kita sunset tapos lasing lasing ulit dejoke hahahaha',tlen,1,,
b'9 days na langggg\xf0\x9f\x91\x80',tlen,0,,
b'Nakakatamad ng mag online',tlen,-1,,
b'\xe2\x98\x80\xef\xb8\x8f https://t.co/MGQpyFysUD',emoji,0,,
b'Bilhin ko na ba yung isang skin ni Pharsa or nah? \xf0\x9f\xa5\xba',tlen,0,,
b'TITIGAS NA ATA AKO SA SOBRANG LAMIG DITO SA AIRPORT!!!',tlen,-1,,
"b'Satisfied Clients \xf0\x9f\xa4\x97\n\n#Winnerrrrr\xf0\x9f\x98\x81 @ Tondo, Manila, Philippines https://t.co/H2wq3w1QpP'",en,1,,
b'why is my home don\xe2\x80\x99t feel like home. we\xe2\x80\x99re like individuals just staying in the same place w/o the essence of unity \xf0\x9f\x98\xb6',en,-1,,
b'@jdyaustria Lol meron daw?',tl,0,,
b'@karlimutan My favorite \xf0\x9f\x98\x8d',en,1,,
b'Be safe ate. \xe2\x9d\xa4\xef\xb8\x8f See you soon \xf0\x9f\xa4\x97 https://t.co/0r1AZkyNmD',tlen,1,,
b'Sunburn alis ka na sa likod oh \xf0\x9f\x98\x9e',tlen,-1,,
b'Please give me a Daniela x Romina catfight between Daenerys and Sansa. Yung tipong pinakbet vs samgyupsal. Hahaha',tlen,1,,
b'Pisti ang haharot.. Hahahahha\n\nBakit di mo magawa yan dati ricardo?.... \n\nAy oo nga palamay ka LT ka pa dati...\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82.',tl,1,,
b'tinamad akong mag msu ngayon huhu',tl,-1,,
"b""The best thing you can do? Be the best version of yourself that the LAST thing they'll be thinking about when they hear your name is the color of your skin. \xe2\x9c\xa8""",en,0,,
b'Jinit jackson!!! \xf0\x9f\x99\x84\xf0\x9f\x98\x91',en,1,,
b'part time job this summer bi pls',en,-1,,
"b'@ceejaydeleon Ayaw nila sakin, hehheeh'",tl,0,,
b'https://t.co/FsVX2hgFTn',others,0,,
"b'Pag may jowa na kasi, wag ng landiin!! gigil moko!!!!! \xf0\x9f\xa4\xac'",tl,-1,,
b'@Alex_GoldenBoii Ahahahahahaha',en,1,,
b'@maeganmencab Mee HAHAHAH AS A NUMBER 1BUYER',en,1,,
"b'DaddyLo &amp; Baby Siopao \xf0\x9f\x98\x8d\xf0\x9f\x92\x95 @ Mati, Davao Oriental https://t.co/MrooA38lEQ'",others,0,,
b'\xf0\x9f\xa4\xad',emoji,0,,
b'@itsme_Ron01 Hahahah wag na muna mag grindr... este mag twitter \xf0\x9f\x98\x82',tl,1,,
b'UWU',emoji,0,,
b'@_felixv23 pucha HAHAHAHHAHA bad',tlen,1,,
b'\xf0\x9f\x98\x82',emoji,1,,
b'Waaahhhhh cutie kaau madeem \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x95',tlen,1,,
b'Solid Comshop : 11/10 \xf0\x9f\x91\x8f\n\nNoxGamingArena https://t.co/q2Ap1Q6avG',en,1,,
b'Tangenuhng cashier to feeling maganda',tlen,-1,,
b'meteor garden ep 1',en,0,,
b'GRABE MAY PAG ATAKE???????',tl,0,,
"b'Sabi sabi nanaman kayo tas di niyo nanaman tutuparin. Sanay na ako, sanay na sanay na!!!'",tl,-1,,
b'Sanay nako pero bat may kirot padin.',tl,-1,,
b'@IsayXinZin Opx baby tara?',tlen,0,,
"b'Sun, scebe, science #MaineEBLentenBUKAS'",en,0,,
b'Salute.',en,0,,
b'@Makatang_Panda hm po?? hehehe',tlen,0,,
b'In short nakakatamad ng mag cellphone',tlen,-1,,
b'Sinong hihikain sa sobrang init??? \xf0\x9f\x99\x8b\xf0\x9f\x99\x8b',tl,-1,,
"b""I don't know why but I find it so inspiring na makab'ot og kab'oton sad na.""",tlen,1,,
b'Mimiyuuuhhh..........ohh (hinga) yeahh. \xf0\x9f\x98\x85',tlen,0,,
b'Me: seeing Kakai IGs Kissing Alden On the Cheeks ....\n\nMs.kakai How to be You po ??\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\n#ALDENonEBxBULAWAN https://t.co/qYkF69jhLQ',tlen,0,,
b'@ltsmglc Disatam bayad aning kalakiha oy huhayyyyssss',others,0,,
b'Find a friend who\xe2\x80\x99s on the same wavelength as you. @lukalukangJOSSA #twinningparinkahitdinagusap lol https://t.co/a9JJSSWG7R',en,1,,
b'Sana umulan pero ung hindi magbabaha\xf0\x9f\x98\x82',tl,1,,
b'Napapaisip ako sa nangyare tangina!!!!',tl,-1,,
b'Nagsiuwian pala mga tita ko dito',tl,0,,
b'Sana walang mag bag.o \xf0\x9f\x98\x8d https://t.co/mtJkTl0BF9',tl,1,,
b'tas late pa gising paktay tayo\xf0\x9f\x98\x85',tl,1,,
b'Lakas ko makapag alok ng copy ng GOT HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA #akalamonanonood',tlen,1,,
"b'Guys, may live ba ang TWBA?'",tlen,0,,
"b'Satisfied Clients \xf0\x9f\xa4\x97\n\n#Winnerrrrr\xf0\x9f\x98\x81 @ Tondo, Manila, Philippines https://t.co/uKxTC7H54B'",en,1,,
b'@tophsylog maselang bata',tl,0,,
b'Payment slip lang fotaaaaaaa mag aabot kalang inamoooo',tlen,-1,,
b'@XellaXnavarroX hahahaha libre ko vu',tl,1,,
b'@thrxvrtcio_ Lage hahayyyyyys',tl,0,,
b'Sakita nas bukton \xf0\x9f\x98\xa3',others,0,,
b'@Miongstradamus HAHAHAHHA',en,1,,
b'@iamthetorch Yawa HAHAHA',others,1,,
b'Okay? \xf0\x9f\x98\x98 https://t.co/yCDVngPWKi',en,1,,
b'\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f',emoji,0,,
b'arghhh daming gagawin!!!',tl,-1,,
b'Gusto kong manakit ng mga taong manloloko sa sobrang sakit ng puson ko\xf0\x9f\x98\xad',tl,-1,,
b'@RealKMADelfin aaaand hindi din naman pagiging makasarili ang self love. you got to understand that. wag masyadong selfless men.',tlen,0,,
b'@Randeru_28 \xe2\x9d\xa4\xef\xb8\x8f\n\xe2\x80\xa2 matalino\n\xe2\x80\xa2 pogi to\n\xe2\x80\xa2 king of reason',tlen,1,,
b'@essareigniluna Pag uwi ko',tl,0,,
"b'In all fairness, hindi ganon kainit ung araw'",tlen,1,,
b'Sadness is drowning me',en,-1,,
b'ang hirap potek',tl,-1,,
b'Maygani kay naminaw kong miss myla sa probability sauna HAHAHAHAHAHAHAHA buyag',others,1,,
b'One of my leadership icons. See you again sometime someday Dr. Pedro! I pray that may your influence continue to lead people to Christ! \xf0\x9f\x93\x8c\xf0\x9f\x93\x8c #lamoiyan\xe2\x80\xa6 https://t.co/JJtEHgsSxo',en,1,,
b'uhm https://t.co/t8Wb0J9dqe',others,0,,
"b'Soak, sack, sought #MaineEBLentenBUKAS'",en,0,,
b'aalis na mamaya tapos di ka pa nagaayos ng gamit tapos naiyak ka pa',tl,-1,,
"b'Gusto ko na magpakulay, pero mas gusto kita hihi\xf0\x9f\xa4\xad'",tl,1,,
b'Antok na antoooook ako mga veh!',tl,0,,
b'@kimanngo Di jud na mahitabo dzai nga ang satanas mamahimung buotan!',others,0,,
b'ang galing mo cutie HAHAHAHAHAHAHAHA',tlen,1,,
b'@eyish_08 Missyou too pakita ka naman \xf0\x9f\x98\xa2',tlen,1,,
"b'Karaniwang tao, saan ka tatakbo\xc2\xa0\nKapag nawasak iisang mundo\n\n#ShowtimePanauhin'",tl,0,,
b'I now appreciate milktea. Roasted Okinawa @ Dakasi is lit \xf0\x9f\x94\xa5',en,1,,
b'Dami namin sa bahay \xf0\x9f\x98\x82',tl,1,,
b'Kapoi mn pd diay walay buhaton ba \xf0\x9f\xa4\xa8',others,0,,
b'Lingawa gabie oy! ahahahahahah maka bsht na kalingaw hahaa',others,1,,
b'Halaa ang awkward ng grad pic ko huehue bat kasi pinipilit mag smile na labas ngipin\xf0\x9f\x98\xab\xe2\x98\xb9\xef\xb8\x8f',tlen,-1,,
b'Wala jud gusto mag uban saako magtea karun manglibre unta ko',others,0,,
b'@antotayyy I miss you too \xf0\x9f\x99\x81',en,1,,
b'HAHAHAHA',en,1,,
b'Daw mukhang pokpok HAHAHAHAHAHA',tl,1,,
b'\xec\x8b\xac\xec\x8b\xac\xed\x95\xb4! \xf0\x9f\x98\xaa https://t.co/urBh6MORnT',emoji,0,,
b'eysmut hahaha',others,1,,
b'@fernandogem_ Metaba kuuu!',others,0,,
"b""alam mo ba na you're so special for most people around you that you shouldn't worry about what few people say? kasi you know naman na maraming sumusuporta sayo, and I'm one of them, kasi kabilang din ako sa community na kinabibilangan mo rin, w/c is lgbt community""",tlen,1,,
"b'so no worries, just enjoy every moment waiting in front of you. thanks for the help :))))'",en,1,,
"b""#Lunch by the #beach is ' awesome! \xf0\x9f\x98\x81\xf0\x9f\x96\x92\n\nThank you Lord for this! \xf0\x9f\x98\x81\n\n#happy #bonding #friends #mattakaw #mattravel @ Daku, Siargao Island, Philippines https://t.co/gU9RllANwm""",en,1,,
b'\xe2\x80\x98tong mga tao sa jeep tinitignan ako kasi tumatawa ako magisa habang pinapanood yung videos ni Erika Embang. pampam.',tlen,-1,,
b'@madsnhee Hmmmm',others,0,,
b'For real naba to? \xf0\x9f\x98\x85',tlen,1,,
b'Yes',en,0,,
b'Di man unta ko kpop ngano maka lss ilaha mga kanta \xf0\x9f\x98\x85',others,0,,
b'@zeusbaylon Block taka ba? Hahahahaha',others,1,,
b'does it ever feel lonely?',en,-1,,
b'@acehardwaree_ CONGRATS AKLA!!!!! SO PROUD OF YOU\xf0\x9f\x92\x96',en,1,,
"b""Hi Rizal '18-'19 ((:""",en,1,,
"b'\xe2\x80\x9cSome go to church and think about fishing, others go fishing and think about God.\xe2\x80\x9d\nTony Blake\n\nMakoy\n#ALDENonEBXBULAWAN'",en,0,,
"b""I belong to the 1% population of what is Game of Thrones? \xf0\x9f\x98\x82\nDidn't even watched a single episode \xf0\x9f\xa4\xad""",en,1,,
b'DAPAT LG NGA DI NATO TAGAAN UG PAKE ANG MGA TAONG WALAY PAKIALAM SA ATO.',others,0,,
b'Goodmorning ako pala yung weak HAHAHAHA',tlen,1,,
b'will try this futo maki',en,0,,
b'way makig sumbagay diha?',others,0,,
b'@HATEDOG3 totoo naman kasi magsinungaling kapa hahahahahhaha',tl,1,,
"b'ANG POGI NAMIG KAPITBAHAY,\nBOW \xf0\x9f\x98\x82'",tl,1,,
b'ang sakot tangina',tl,-1,,
b'@apothecarian_ Dra ka gli mag holy week?',others,0,,
b'kung pupunta kayo sa Cagayan de Oro punta kayo rito ang ganda rito sweaaaar \xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4',tlen,1,,
b'Ngalay na pwet ko! \xf0\x9f\x98\xad Tagal pa ng byahe. Huhu \xf0\x9f\x98\x8f',tl,-1,,
b'04/13/19 escaped https://t.co/EycvVtzUWU',en,0,,
b'wowowow \xf0\x9f\x96\xa4',en,1,,
b'na luoy kong zandro kay na bun-og iya paa tiyan ug kilid sa akong mga kusi ug hapak hahahahahahahaha kusog kayka padagan ha',others,1,,
"b'I mean, IT IS THE BEST TV SERIES #GameOfThrones https://t.co/WX4d8gHzp8'",en,1,,
"b""One day, you will be at the place you always wanted to be. Don't stop believing \xf0\x9f\x92\x95""",en,1,,
"b'@ceejaydeleon Oo matagal na ko nag apply, dekada na, hahahha'",tlen,1,,
b'Makalako lang stress ding Konsyal HAHAHAHAHAHA solid la kalokwan ay!',others,1,,
b'I wanna dye my hair na talagaaaa arrrgh',tlen,-1,,
b'Sakit ng balakang amp',tl,-1,,
b'It is the quest of the strongest sheeeeyyyytttttt https://t.co/ersvFS1Zqn',en,0,,
b'@brnstrcame gimmee someee :&lt;',en,0,,
b'tamad ko talaga',tl,0,,
b'Uy throwback from @MYXphilippines circa 2010 \xf0\x9f\x8c\x9d\n\nhttps://t.co/O7qgkgqWgk',tlen,0,,
b'Maja Salvador is shaking. Charot. Nice one Vpeepz! \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbb',en,1,,
"b'Super, strike, stance #MaineEBLentenBUKAS'",en,0,,
b'@thehustinya thank you ate!! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',tlen,1,,
b'bat parang di na gumagana laptop ko? shetttt tagal kaseng nakatambak huhu',tl,0,,
b'No one really HAHAHAHA',en,1,,
b'Tutok na tayo mga guysss! \n\n\xf0\x9f\x93\xb8Baste ig\n#ALDENonEBxBULAWAN https://t.co/AvSou2VeXe',tlen,0,,
b'@slstyfunny Sorry Haha',en,1,,
b'@itsHAZELLE Gorg di ka naman mataba \xf0\x9f\x98\x8a',tl,0,,
b'wow naman :--) happy4! \xf0\x9f\x98\x82\n\nDo you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/HZUFwWvfZp',tlen,1,,
b'Team #RunFreeCDO #Camiguin360UltraMarathon2019 #RoadRun #SupportGroup #SunKissed #Summer2019 #RoadTrip \xf0\x9f\x8f\x83\xf0\x9f\x92\xaa\xf0\x9f\x8f\x96 \xf0\x9f\x9a\x98 @ Camiguin Island Philippines https://t.co/uqwszXJ8bT',en,0,,
b'\xf0\x9f\x92\x96\xf0\x9f\x92\x96',emoji,1,,
b'Yung antok na antok pa ako pero bumangon na ako kasi gusto maging Productive yung araw ko hehe',tlen,1,,
b'U r always in my \xf0\x9f\x92\x9a',en,0,,
b'Awww a little kid waved at me. Kyot kyot.',en,1,,
b'May na Jar na naman. Tsk2 R.IP.',others,0,,
b'Cge naman kog ka tog ani oyy feel nako mi taas na gyud ko ani.',others,0,,
b'Home is where the ocean is \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x9e https://t.co/TMvqvE3NkT',en,1,,
b'Kapoyan nakog adto sa skwelahan',others,0,,
"b'of all the things na pwede kong maiwan, yung id ko pa, ang galing \xf0\x9f\x99\x83'",tlen,-1,,
b'HAAHHAAHHAHA',en,1,,
b'@hxllyah_ Ako man skl',tlen,0,,
b'@Balaguer0001 kelan tyo papagupit',tl,0,,
b'@jpsantiago04 kinukupal ka na naman nila dyan?! Dafuq di na natapos mga issue nila sa buhay AHAHAHAHAHA',tlen,1,,
b'So cold \xe2\x98\xb9\xef\xb8\x8f',en,0,,
b'Off the wall. \xe2\x9a\xa0\xef\xb8\x8f https://t.co/bE2eWP79fs',en,0,,
b'Pabawas ng pabawas star ko sa ml',tlen,-1,,
b'@fayiiieasuncion Edi matulog ka. Hahaha',tl,1,,
b'diko naman to pinoproblema dati e pero ngayon pota nakakainis \xf0\x9f\x98\x96',tl,-1,,
b'Mo larga na jud si Suhaira? Sure na jud ni? Final na?',others,0,,
b'A beautiful day indeed. \xf0\x9f\x92\x95 @ Simala Shrine Sibonga Cebu https://t.co/Lq1BKQtOjU',en,1,,
b'Hahahahahaha \xf0\x9f\x92\xaf',en,1,,
b'Mag laba sko bay kay murag lang',others,0,,
b'Swerte ko sayo!!!! \xf0\x9f\x92\x9b',tl,1,,
"b'Infairness, nkkumpleto ko ang 8 glasses of water a day dito! Hahahah\xf0\x9f\x92\xa6\xf0\x9f\x92\xa6\xf0\x9f\x92\xa6'",tlen,1,,
b'@Harren_100598 @Miongstradamus @shannnna_ @PiRed773 @Beeeyaj @kythefirst Hahhahahahahhahahahahha 12 seconds plus 3 atong una na chug equals balde hahahahahhahaha',others,1,,
b'Bakit ang cutie ko? \xf0\x9f\x98\x82\xe2\x9c\x8c\xf0\x9f\x8f\xbb https://t.co/OE5JDjrNSO',tlen,1,,
b'go uste pucha ito nanaman tayo may bagong multong nagwave',tlen,0,,
b'https://t.co/weTwjO8vIy',others,0,,
b'I luv him',en,0,,
b'Intention + Behavior = Impact :)',en,1,,
"b'tf? Sugod palang gne hype na. Afatay DANY, suko sam sa imoz \xf0\x9f\x99\x83'",others,0,,
b'Wlaa nakoy ma suot',others,0,,
b'@AtaydeArjo basahing mabuti ng matauhan ka',tl,0,,
b'Ang inet hayop',tl,-1,,
b'@zairaestidola1 bakit may away nanaman ba? haha',tl,1,,
"b""Tf! Don't ask me why\xf0\x9f\x92\x94""",en,-1,,
b'mas masarap magpalibre sa tropa kesa sa jowa HAHAHAHHAHA',tl,1,,
b'Bitiiiiiiin hahahaha',tl,1,,
b'@geol_andrei HAHAHAHAHAHA. grave ka pilosopa ng mama mo iskooo \xf0\x9f\x98\x82',tl,0,,
b'@SibalMart HAHAHAHHAHAHAHAHAHAHHAHAHAHA YAWA',tl,1,,
b'@gwiyomica @PEACHSUNSETPH Yun nga din problema nung iba kong kakilala e. Yung PYM nila last year pa. april na wala pa din huhu',tlen,-1,,
b'@paulavaldez_23 hahahahahaha wag ka mag twitter and fb. Di pa ko nakabook ng tix. 24hrs screening ng cinema dito gusto mo ba yon?',tlen,1,,
b'@jeiizawa See you soon \xf0\x9f\x98\x80',en,1,,
b'@jayronpado',others,0,,
b'Gusto ko na mag golf',tlen,0,,
"b'\xe2\x80\x9cFishing in a place is a meditation on the rhythm of a tide, a season, the arc of a year, and the seasons of life.\xe2\x80\x9c\nCarl Safina\n\nMakoy\n#ALDENonEBxBULAWAN'",en,0,,
b'noon namomroblema ako kung saan ako kukuha ng pang gas e ngayon namomroblema ako kase wala na akong magamit na motor :(( how sad',tlen,-1,,
"b'Pariwara, ang tawag satin ng madla..... \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6\n\nNamiss ko lang makinig sa legit na tugstugan ng Itchyworms. Bawas bawasan daw kasi pakikinig sa mga worldly songs pero naah Itchyworms dabest!! HAHAHAHAHA'",tlen,-1,,
b'This made me smile',en,1,,
b'amg ganda lang ni jayaaa kahit bagong gising lang huhuhu',tl,0,,
b'@versozanikki1 XOXAD',others,0,,
b'\xf0\x9f\x93\x96\xf0\x9f\x93\x9a\n\n#FullyBooked #Books #Book @ Fully Booked https://t.co/zI9bbBqwoh',emoji,0,,
b'Kairita ah.',tl,-1,,
"b'Miss ko na hug ni janin, riza at gwen :&lt;'",tlen,-1,,
b'Sisz \xf0\x9f\x92\x81\xf0\x9f\x92\x99 https://t.co/5D1WMSo3QB',en,0,,
"b""Option 2:\nWrite an acknowledgment letter, signed by the parents/guardian, and notarized. The letter states that we understand and acknowledge the school's policy na dapat passed na ang pre-boards before we could take the board exam.""",en,0,,
b'Anung magandang brand ng pang hairdye? Mahal sa salon ey',tlen,0,,
b'Miminizationism. \xf0\x9f\x91\x8b\xf0\x9f\x98\x8a',en,0,,
b'\xf0\x9f\x92\x93 https://t.co/9S94ErcLC3',emoji,1,,
b'@hahahamisha Can\xe2\x80\x99t wait for my turrrnnnnn HAHA',en,1,,
b'ang sakit ng puson ko hays',tl,-1,,
b'@OnahonEunice nag lakaw\xe2\x80\x992 pa oy\xf0\x9f\x98\x82',tl,0,,
b'Breathe. Sunflower. Rainbow. Three to the right. Four to the left. Four-fifty.',en,0,,
b'ayan nasaksihan ang iyong kagwapsss kagabiiii!!!\xf0\x9f\x98\x82',tl,1,,
b'Kahit sa pag sinusundan ako ng araw',tl,0,,
b'@amaeforlife @klereenlaudit \xf0\x9f\x98\x93\xf0\x9f\x98\x93\xf0\x9f\x98\x93\xf0\x9f\x98\x93',emoji,-1,,
b'Daghanag spoilers. Hahahahaha kamo nay mga mga critics and analysts mga atay mo',others,1,,
b'@someradenzelle Hahahahahahaha. Boring ka rin ba nak? Hahahaha\xf0\x9f\x98\x82',tlen,1,,
"b'@DMTBC Wala talaga. Love you, love. :)'",tlen,1,,
b'@JhonLister7 buot ka',others,0,,
b'@arrpramirez hi sis hahahhaa awww \xf0\x9f\x98\x82\xf0\x9f\x98\x85',en,1,,
"b'@justinaallaina Alam mo naman dito tindahan, di naman lagi malakas. Minsan walang benta kaming bantay yung sinisisi. Ka stress nakakabwisit. Sinabi m l'",tlen,-1,,
b'Popcorn\xf0\x9f\x8d\xbf',en,0,,
b'Tungod gabie naka hatag og kwarta kang mama litse haha',others,1,,
b'see u tom \xf0\x9f\xa4\xad',en,0,,
"b'Since, shoot, seek #MaineEBLentenBUKAS'",en,0,,
b'@IsayXinZin Sa may din ako free baby hehe',tlen,0,,
b'Magsorry lang sya papatawarin ko yan :)',tlen,1,,
b'Di daw bagay saken gupit ko\nMalamang ikaw bagay saken eh.',tl,0,,
b'besh ang dami ko palang pamangkin.. nakakaloka?',tl,0,,
b'Kalat ng Inquirer.',tl,-1,,
b'Ang saya sa feeling pag wala yung dalawang asungot sa branch. \xf0\x9f\x98\x82',tlen,1,,
b'Sapilitan?',tl,0,,
b'Favoritism is waving at you. \xf0\x9f\x96\x95\xf0\x9f\x8f\xbb',en,0,,
b'kasama ako sa 1% na hindi nakapanuod ng kahit isang episode ng GOT. \xf0\x9f\x98\x82 #GameofThrones',tlen,0,,
b'Yakin deh kalian #NyoblosDuluLiburanKemudian',others,0,,
b'PARANG IMPYERNO NA NAMAN ANG INIT NGAYONG ARAW DITO SA CEBU!',tl,-1,,
b'Gusto ko ng tikoy yo',tl,0,,
b'May na jar na naman tsk2. R.I.P.',others,0,,
b'@dxrcee kelan na tayo mangangampanya parr marami kaming kilala ni argee sa florida hahahaha',tlen,1,,
b'like comment subscribe',en,0,,
b'@Julleannughh kapapanood ko lang nyan kagabi!! oOf',tl,0,,
b'Hayss. Pilagens',tl,-1,,
b'\xe2\x9c\xa8 https://t.co/TMiDgWORe8',emoji,0,,
